player_id,player name,to_club,to_league
6985,Hugo Ibarra,Liga Portugal,Portugal
1282,Aníbal Matellán,Bundesliga,Alemania
17481,Jorge Bermúdez,Super League 1,Grecia
6862,Óscar Córdoba,Serie A,Italia
53337,Alfredo Moreno,Super League,China
2875,Antonio Barijho,Super League,Suiza
30746,Martín Andrizzi,Torneo Clausura,Argentina
3367,Jorginho Paulista,,Brasil
203944,José Pereda,,Perú
335731,Fernando Pandolfi,Torneo Clausura,Argentina
213142,Guillermo Valdez,,Italia
72046,Juan Manuel Aróstegui,,Malasia
88722,Rubén Cecco,,Ecuador
63395,Cristián Muñoz,Torneo Clausura,Argentina
30918,Pablo Bonvín,First Division,Inglaterra
24463,Roberto Colautti,Super League,Suiza
27674,César La Paglia,Torneo Clausura,Argentina
72046,Juan Manuel Aróstegui,Torneo Clausura,Argentina
19954,Héctor Carballo,Liga Expansión MX Cl.,México
26725,Matías Arce,Torneo Clausura,Argentina
54348,Facundo Imboden,Torneo Clausura,Argentina
33708,Esteban Herrera,Torneo Clausura,Argentina
67982,Esteban González,,N/A
2880,Naohiro Takahara,J1 - 1st Stage,Japón
