player_id,player_name,from_club,amount
3225,Robbie Fowler,Leeds United,9800000
3812,Matías Vuoso,CA Independiente,7500000
3803,David Sommeil,Girondins de Burdeos,4500000
3889,Marc-Vivien Foé,Olympique de Lyon,700000
22754,Karim Kerkar,Le Havre AC,Libre / Cesión
3141,David Seaman,Arsenal FC,Libre / Cesión
3465,Peter Schmeichel,Aston Villa,Libre / Cesión
10379,Tyrone Loran,FC Volendam,Libre / Cesión
3639,Djamel Belmadi,Olympique de Marsella,Libre / Cesión
4249,Tim Flowers,Leicester City,Libre / Cesión
3292,Joey Barton,Manchester City U21,Libre / Cesión
3317,Jeff Whitley,Notts County,Libre / Cesión
3136,Darren Huckerby,Nottingham Forest,Libre / Cesión
